       192  LUT3  F4  (aB)+C
       193  LUT3  F4  (aB)+C
       194  LUT3  F4  (aB)+C
       195  LUT3  0E  c/ab\
       196  LUT2  4  aB
       197  LUT2  6  A^B
       198  LUT4  C3A4  DC?aB:b:A:B
       199  LUT2  8  AB
       200  LUT2  1  ab
       201  LUT2  4  aB
       202  LUT3  D3  BC?1:0:a:1
       203  LUT4  CDC2  BC?A^D:D:0:1
       204  LUT3  A3  C?b:A
       205  LUT4  FC02  BD?Ac:0:C:1
       206  LUT2  4  aB
       207  LUT3  F1  (ab)+C
       208  LUT3  83  BC?1:0:0:A
       209  LUT4  CB1F  BC?1:/aD\:ad:D
       210  LUT3  2C  BC?0:1:A:0
       211  LUT3  3A  c?b:A
       212  LUT2  E  /ab\
       213  LUT4  8D43  BC?/AD\:D:0:a^D
       214  LUT4  632A  AD?0:/BC\:b^C:b
       215  LUT3  4B  (aB)^c
       216  LUT4  BCE8  AB?CD:C:C^D:1
       217  LUT2  8  AB
       218  LUT4  F044  D?aB:C
       219  LUT3  4F  (aB)+c
       220  LUT4  AECA  AB?0:/Cd\:C^D:1
       221  LUT4  07CC  BD?0:1:c:ac
       222  LUT4  CDB0  BD?C:AC:ac:1
       223  LUT3  E8  AB?0:C:C:1
       224  LUT2  8  AB
       225  LUT4  BE80  AD?0:BC:B^C:1
       226  LUT4  3F80  BD?0:AC:1:c
       227  LUT2  4  aB
       228  LUT4  77F0  D?C:/AB\
       229  LUT4  4770  BD?C:aC:c:a
       230  LUT2  8  AB
       231  LUT2  E  /ab\
       232  LUT4  FFE0  (C/ab\)+D
       233  LUT2  1  ab
       234  LUT2  B  /aB\
       235  LUT3  10  abC
       236  LUT3  40  aBC
       237  LUT3  40  aBC
       238  LUT3  40  aBC
       239  LUT1   1  a       deleted
       240  LUT1   1  a       deleted
       241  LUT1   1  a       deleted
       242  LUT1   1  a       deleted
       243  LUT1   1  a       deleted
       244  LUT1   1  a       deleted
       245  LUT1   1  a       deleted
       246  LUT1   1  a       deleted
       247  LUT1   1  a       deleted
       248  LUT1   1  a       deleted
       249  LUT1   1  a       deleted
       250  LUT1   1  a       deleted
       251  LUT1   1  a       deleted
       252  LUT1   1  a       deleted
       253  LUT1   1  a       deleted
       254  LUT1   1  a       deleted
       255  LUT1   1  a       deleted
       256  LUT1   1  a       deleted
       257  LUT1   1  a       deleted
       258  LUT1   1  a       deleted
       259  LUT4  8000  ABCD
       260  LUT4  8000  ABCD
       261  LUT4  0700  cD/AB\
       262  LUT3  0B  c/aB\
       263  LUT4  C0F5  DC?a:0:1:B
       264  LUT4  C0F5  DC?a:0:1:B
       265  LUT4  8000  ABCD
       266  LUT4  C0F5  DC?a:0:1:B
       267  LUT4  C0F5  DC?a:0:1:B
       268  LUT4  8000  ABCD
       269  LUT4  4000  aBCD
       270  LUT4  7F00  ((/AB\)+c)D
       271  LUT4  00BF  ((/aB\)+c)d
       272  LUT4  C0F5  DC?a:0:1:B
